"Title","Description","Price","Condition","Ad Posted Date","Username of Seller"
"BenQ GW2480 | 24"" 1920x1080 Pixels IPS FHD MONITOR","BenQ GW2480 65Hz 24 Inch Monitor IPS Monitor Eye Care","रू. 22,000","| Brand New","5 months ago","99Nepal"
"Acer Nitro Series Monitor | NITRO VG240Y E/ACER","Acer Nitro Series Monitor Size : 23.8"" (IPS) Resolution : 1920 x 1080 Refresh Rate : 100Hz Response Time : 1ms VRB Input : HDMI(1.4)+DisplayPort(1.2) FREE DP CABLE (SKU: 5M.LCD00.019) Warranty: 1 Years Onsite (P&R)","रू. 22,500","| Brand New","5 months ago","99Nepal"
"ACER Nitro VG280K Widescreen IPS GAMING Monitor SP","Acer Monitor - ACER NITRO SERIES MONITOR (IPS) | VG280K Size: 28"" Resolution: 3840 x 2160 (USD/4K) Refresh Rate: 60Hz Response Time: 4ms Input: HDMI(2.0) x2 + DP(1.2) +Audio out FOC DP CABLE (5M.LCD00.019) Warranty: 1 YEAR","रू. 43,500","| Brand New","5 months ago","99Nepal"
"Samsung Odyssey 27 Inch Monitor","Samsung Odyssey Gaming Monitor 27"" Va Pannel 165 Hz Amd Free Sync FHD Price - 33500/- Thank You 99 Nepal","रू. 33,500","| Brand New","1 years ago","99Nepal"
"GW2283 | 21.5"" 1080p Eye-Care IPS Monitor","BENQ GW2283 21.5 INCH EYE-CARE STYLISH IPS MONITOR Model: BENQ GW2283 IPS Wide Viewing Angle Technology Dual HDMI Connectivity Edge to Edge Slim Bezel Design Full HD (1920x1080) Display","रू. 17,000","| Brand New","5 months ago","99Nepal"
"MSI Modern MD241PW, 24"" Monitor IPS, 75Hz, GAMING","MSI Modern MD241PW, 24"" Monitor, 1920 x 1080 (FHD), IPS, 75Hz, TUV Certified Eyesight Protection, 5ms, HDMI, USB C, Tilt, Swivel, Height Adjustable, Pivot, White About this item Product Type :Monitor Package Dimensions :26.93"" L X17.64"" W X6.14"" H Country Of Origin :China Package Weight :13.67Lbs","रू. 24,999","| Brand New","5 months ago","99Nepal"
"Monitor BenQ DesingVue 27"" PD2705U IPS 4K UHD 60Hz","Monitor BenQ DesingVue 27"" PD2705U IPS 4K UHD 60Hz 5ms HDR10 USB-C Monitor BenQ PD2705U Ecrã de 27"" com uma resolução 4K UHD (3840 x 2160) Refresh Rate de 60Hz Tempo de resposta de 5ms","रू. 86,000","| Brand New","5 months ago","99Nepal"
"MSI G274QPF-QD 27"" QHD 170Hz Flat Gaming Monitor","27"" Flat Gaming display 2560x1440 (WQHD) High Resolutio Rapid In-Plane Switching (IPS) technology 1ms (GTG) Response Time and 170Hz Refresh Rate 16:9 Aspect ratio VESA DisplayHDR 400 NVIDIA G-SYNC Compatible Adjustability: Height/Pivot/Swivel/Tilt Quantum Dot Tech - Accurate colors, DCI-P3 support Wide Color Gamut – Vivid colors, realistic details Frameless Design 178° Wide Viewing Angle Anti-Flicker & Less Blue Light Type-C Display and Charging Enhanced dark details with Night Vision","रू. 51,999","| Brand New","5 months ago","99Nepal"
"23.8 Inch Monitor, 1080p, Ips Panel, Eye-Care","23.8"" Full HD 1080p Monitor Wide Viewing Angle IPS Panel Edge to Edge Slim Bezel Design Price - Rs 22,999 Thank You 99 Nepal Newroad, Kathmandu Mobile :9801800071/9801851999 whatsapp :9801800071 Viber :9828711007 Email: 99nepalmart8848@gmail.com","रू. 17,500","| Brand New","3 years ago","99Nepal"
"Dell OptiPlex 7010 13Th Gen I5/8/255/19"" Monitor","Product Description Dell OptiPlex 7010 13th Gen i5 3500 8GB RAM 256GB SSD Desktop The Dell OptiPlex 7010 Tower Desktop Computer. This desktop offers seamless multitasking and effective performance for your daily computing needs thanks to the cutting-edge 13th Gen Intel Core i5 13500 processor. Equipped with 8GB of DDR4 RAM and a speedy 256GB M.2 PCIe SSD, it ensures smooth operation and ample storage space for your files and applications. https://www.rhythmkala.com","रू. 99,800","| Brand New","3 months ago","Rhythm Kala Suppliers 9851126504"
"Dell 27 Monitor U2718q 4k Ultra","-Screen Size-27 Inches -Resolution 3840 x 2160 Pixels Series U2718Q -Dimensions-24.07 x 7.89 x 21.27 inches -Processor Count-2 -Computer Memory Type-DDR2 SDRAM -Voltag-240 Volts Direct Call 9828711007 Location -New-road Behind Civil Bank Lotus Tower 3rd Floor Thank You 99 Nepal https://www.facebook.com/99Nepal99 https://www.instagram.com/99nepal__/","रू. 79,999","| Brand New","4 years ago","99Nepal"
"BenQ GW2480 Monitor 24''Full HD IPS 60HzNew Brand","24"" Full HD (1920 x 1080) Borderless, VA Panel, Anti-Glare, 60Hz Refresh Rate, 5ms Response Time, 250cd/m2 nits Brightness, 102 PPI, 16.7 M Colors Display, 3000:1 Contrast Ratio, 72% NTSC Color Gamut, 1x VGA, 2x HDMI (1.4b), 1x Audio Line In, 1x Headphone Jack, Built in 2x 1W Speaker, 178° Wide Viewing Angle, VESA Mountable, TUV Certified Eye Care Monitor, Anti-Flicker and Less Blue Light Technologies, Cable Management System 1 year Warrenty THANK YOU PHONE NUMBER:9801851993 9801851992","रू. 22,500","| Brand New","1 months ago","99Nepal"
"BenQ GW2490 100Hz Gaming Monitor 24"" FHD 1920x1080","Brand: BenQ Model: GW2490 Screen Size: 24 inch Panel Type: IPS Resolution (max.): 1920×1080 (FHD) Response Time: 5 ms Refresh Rate: 100Hz Color Gamut: 99% sRGB Built-in Speaker: 2Wx2 Headphone Jack: Yes Flicker-free Technology: Yes 1 year warranty","रू. 23,500","| Brand New","1 months ago","99Nepal"
"23.8 Inch Monitor, 1080p, Ips Panel, Eye-Care","23.8"" Full HD 1080p Monitor Wide Viewing Angle IPS Panel Edge to Edge Slim Bezel Design THANK YOU PHONE NUMBER:9801851993\9801851992","रू. 22,999","| Brand New","4 months ago","99Nepal"
"HUAWEI 24""IPS LED MONITOR 1920*1080 FHD","HUAWEI 24""IPS DISPLAY LED MONITOR 1920*1080 FHD. MODEL NO.AD80HW BRAND NEW BOX PACK ONLY AT RS 23999/-CAN CALL ME 9808303005,9852672645","रू. 23,999","| Brand New","2 years ago","Dabss"
"Aevision HD 2K 22inch LCD 1080P Monitor","Aevision HD 2K 22inch LCD 1080P Monitor Specifications : 1920*1080 HD detection Ports: HDMI*1 VGA*1 USB*1 AV input/output*2 Designed with two in-built stereo speakers Has 3D no... THANK YOU PHONE NUMBER:9801851993\9801851992","रू. 15,000","| Brand New","4 months ago","99Nepal"
"Benq GW2780 Monitor","Size 27"" Panel Type IPS-Type LCD Touchscreen No Resolution 1920 x 1080 Aspect Ratio 16:9 Pixels Per Inch (ppi) 82 ppi Finish Matte Maximum Brightness 250 cd/m2 Refresh Rate 60 Hz Variable Refresh Technology None Bit Depth / Color Support 6-Bit+FRC (16.7 Million Colors) HDR Compatibility None Color Gamut 72% NTSC Response Time 5 ms (GtG) Viewing Angle (H x V) 178 x 178°","रू. 26,999","| Brand New","1 years ago","USoft Store"
"Laptop & Monitor Cleaning Kit","Designed For: Computers, Laptops, Mobiles Safe for using on lcd surfaces. Helps restore and maintain brightness and clarity. Non-aerosol cleaner with pleasant fragrance removes fingerprints and smudges without harsh solvent. Ideal for flat panel displays, notebook computers, handheld devices and so on. Soft, lint-free microfiber cloth cleans, dries and polishes for a clear, non-streak finish. Compatible for laptop/lcd display/digital camera pda/smart phone/psp","रू. 249","| Brand New","1 years ago","USoft Store"
"MSI G281UV Monitor | 60 HZ | 4ms | IPS","PANEL SIZE 27.9"" (70.9 cm) ACTIVE DISPLAY AREA (MM) 620.93(H)x341.28(V) CURVATURE Flat PANEL TYPE IPS PANEL RESOLUTION 3840x2160 (UHD) PIXEL PITCH (H X V) 0.16(H)x0.16(V) ASPECT RATIO 16:09 BRIGHTNESS (NITS) 300 (Typ.) 400 (HDR Peak) CONTRAST RATIO 1000:01:00 DCR 100000000:1 SIGNAL FREQUENCY 119.4~140.7 KHz(H) 40~60 Hz(V) ACTIVATED RANGE 40 to 60Hz REFRESH RATE 60Hz RESPONSE TIME 4ms (GtG) DYNAMIC REFRESH RATE TECHNOLOGY FreeSync HDR SUPPORT DisplayHDR 400 VIDEO PORTS 1x Display Port (1.2a)","रू. 60,000","| Brand New","8 months ago","USoft Store"
"ASUS TUF Gaming VG35VQ 35″Curved 100Hz HDR Monitor","ASUS TUF Gaming VG35VQ 35” Curved HDR Monitor 100Hz Uwqhd (3440 X 1440) 1ms FreeSync Eye Care DisplayPort HDMI USB HDR10 https://www.rhythmkala.com","रू. 97,000","| Brand New","1 years ago","Rhythm Kala Suppliers 9851126504"
"Zilliontec Monitor 22"" | VGA & HDMI |","Brand : Zilliontec Size : 22 Inch Color : 17 M colors 50000:1 Dynamic Contrast Low Power consumption VGA & HDMI Ports HDMI Cable","रू. 7,800","| Brand New","8 months ago","USoft Store"
"Gigabyte G34WQC 34″ 144Hz UltraWide Gaming Monitor","GIGABYTE G34WQC 34"" 144Hz Ultra-Wide Curved Gaming Monitor, 3440 x 1440 VA 1500R Display, 1ms (MPRT) Response Time, 90% DCI-P3, VESA Display HDR400, FreeSync Premium, Black (G34WQC-SA) https://www.rhythmkala.com","रू. 76,000","| Brand New","3 months ago","Rhythm Kala Suppliers 9851126504"
"Gigabyte M27Q 27″ KVM 170Hz Ips 2k Monitor","GIGABYTE M27Q 27"" 165Hz 1440P -KVM Gaming Monitor, 2560 x 1440 SS IPS Display, 0.5ms (MPRT) Response Time, 92% DCI-P3, HDR Ready, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 2.0, 2x USB 3.0 https://www.rhythmkala.com","रू. 52,000","| Brand New","3 months ago","Rhythm Kala Suppliers 9851126504"
"Gigabyte G32QC A 31.5″ 2k165Hz Gaming Monitor","GIGABYTE G32QC A (32"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R , 1ms (MPRT) Response Time, 93% DCI-P3, VESA Display HDR400, FreeSync Premium Pro https://www.rhythmkala.com","रू. 64,000","| Brand New","3 months ago","Rhythm Kala Suppliers 9851126504"
"Dhauwa 22inch Boderless Monitor","viber 980-3744123","रू. 15,500","| Brand New","1 years ago","Apple IPhone Repair"
"Technos 18.5 LED Monitor With HDMI + VGA HD","- 18.5” , 16:9 ratio - 1366 x 768 HD Resolution - 100000:1 Dynamic Contrast - Power Consumption <_ 21w - Stylish Design - Best for Office, Home, School/College Use","रू. 5,999","| Brand New","1 years ago","USoft Store"
"Samsung 27"" Odyssey G3 VA FHD 165hz 1ms Monitor","SAMSUNG LS27AG320NEXXM ODYSSEY G3 / 27"" VA / 1920x1080@165HZ FHD / 250NITS / 1MS(MPRT) / 12CM HEIGHT ADJUSTMENT / DP, HDMI https://www.rhythmkala.com","रू. 30,000","| Brand New","9 months ago","Rhythm Kala Suppliers 9851126504"
"Asus 22"" Monitor - VP28NE","Product :Asus VP28NE 22"" Monitor Brand : Asus Size : 22"" 21.5” Full HD monitor with 1ms (GTG) quick response time to eliminate ghosting and tracers for more fluid video playback ASUS-exclusive GamePlus provides Crosshair and Timer function for better gaming experience ASUS Eye Care monitors feature TÜV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience Robust connectivity including DVI-D and D-sub ports.","रू. 33,860","| Brand New","2 years ago","MP Accessories"
"DELL MONITOR P2219H BRAND NEW BOX PACK","DELL MONITOR P2219H BRAND NEW BOX PACK. ONLY AT RS 26000/-CAN CALL ME 9808303005,9852672645","रू. 26,000","| Brand New","2 years ago","Dabss"
"MSI Optix G241VC Monitor","-Curved Gaming -FreeSync technology -75Hz High Refresh Rate -Curved Gaming™ -1ms Fast Response Time -Game Mode -Wide Color Gamut","रू. 24,500","| Brand New","4 months ago","Lalit Trading Co."
"Zilliontech 22” HD LED Monitor","- 22” Monitor - 1366 x 768 HD Resolution - 16:9 Aspect Ratio - Fast response time: 5ms","रू. 9,999","| Brand New","1 years ago","USoft Store"
"Dell S2421HGF 24 Inch 144Hz FHD Gaming Monitor","GET LOST IN THE VIEW: 24"" class, 23.8"" viewable Dell gaming monitor with 1920 x 1080 Full HD Resolution STUTTER-FREE GAMING MONITOR: AMD FreeSync Premium technology adds another layer of seamless gameplay by eliminating screen tearing and stuttering IF LOOKS COULD KILL: A 3-sided narrow bezel creates expansive views, plus unique vents located in the back keep everything cool while working hard BENDS TO YOUR WILL: Height adjustable stand with swivel and tilt capabilities let you game in comfort f","रू. 29,500","| Brand New","2 years ago","Tech Mine Pvt. Ltd"
"Asus VA24DQ 24 Inch Monitor","ASUS VA24DQ 23.8” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI DisplayPort VGA 23.8-inch Full HD (1920x1080) LED backlight display with IPS 178° wide viewing angle panel Up to 75Hz refresh rate with Adaptive-Sync/FreeSync technology to eliminate tracing and ensure crisp and clear video playback VESA wall-mountable for more desktop space ASUS Eye Care technology features TÜV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable view","रू. 39,610","| Brand New","2 years ago","MP Accessories"
"Dell S2721HN Monitor","-Native Resolution: 1920 x 1080 at 75 Hz -Aspect Ratio: 16:10 -Panel Type: Fast IPS -Adaptive-Sync Technology: AMD FreeSync Premium -Brightness: 300 cd/m131 -Contrast Ratio: 1000:02 -16.7 million colors -Features: 72% (CIE 1931) colour gamut, 83% (CIE 1976) colour gamut, Flicker Free technology, Dell ComfortView","रू. 23,000","| Brand New","4 months ago","Lalit Trading Co."
"BenQ GW2283 Monitor","BenQ GW2283, 22 inch (55 cm) 1920x1080 Pixels IPS, Full HD Bezel-Less Monitor- Eye Care, Anti-Glare, Low Blue Light, Brightness Intelligence, Dual HDMI, Speakers, VESA Wall Mountable (Black) Amazon's Choice highlights highly rated, well-priced products available to ship immediately.","रू. 16,000","| Brand New","4 months ago","Lalit Trading Co."
"ZillionTech Monitor","5ms Response Time 5000:1 Contrast Ratio 18.5"" LED VGA + HDMI","रू. 4,900","| Brand New","3 months ago","Lalit Trading Co."
"Consistent CTM2200 Monitor","22"" FHD IPS Wide Display Refresh rate 60hz HDMI x1, D-Sub x1, DisplayPort x1","रू. 9,000","| Brand New","3 months ago","Lalit Trading Co."
"Dell E2016hv Monitor","20"" 60Hz ,5ms Display Anti-glare, 3H Hard Coating Contrast Ratio: 600:1","रू. 12,500","| Brand New","3 months ago","Lalit Trading Co."
"Huntkey 22"" Monitor","22"" FHD 60Hz IPS Display 5ms ,16.7 million color Contrast Ratio: 3000:1","रू. 11,500","| Brand New","3 months ago","Lalit Trading Co."
"Technos Monitor","18.5” 16:09 LED Monitor Dynamic Contrast 100000:1 Plug & Play Compatibility","रू. 5,500","| Brand New","3 months ago","Lalit Trading Co."
"Huntkey 24"" Monitor","24"" FHD 60Hz IPS Display 5ms ,16.7 million color Contrast Ratio: 3000:1","रू. 16,000","| Brand New","3 months ago","Lalit Trading Co."
"Hitech LED Monitor 19 Inche","Hitech Led Monitor 19 inches 1366x768 HD Display VGA/HDMI output Direct power cable in true color Contact: Laptop Plus, Newroad, Kathmandu","रू. 4,999","| Brand New","2 months ago","Laptop Plus"
"MSI Modern MD272XP 90° Rotation Monitor 100Hz","27"" Full HD (1920 x 1080) Frameless, IPS Panel, Anti-Glare, 100Hz Refresh Rate, 1ms Response Time, 300cd/m2 nits Brightness, HDR Ready, 8 bits Color, 16.7 million Colors Display, 1000:1 Contrast Ratio. if you need direct call no.9841510220","रू. 40,900","| Brand New","19 days ago","Kante Techlonogy"
"Samsung Odyssey G3 32""Inch FHD 165Hz Monitor","Samsung Odyssey G3 32""inch FHD 165Hz monitor","रू. 49,000","| Brand New","7 months ago","Tech Store"
"Samsung Odyssey G3 32""Inch FHD 165Hz Monitor","Samsung Odyssey G3 LS32AG320NEXXM 32"" FHD 165Hz Gaming Monitor ( DisplayPort, HDMI Size: 32"" FHD (1,920 x 1,080) VA Panel Technology 16:9 ratio Refresh Rate: 165Hz Brightness 250 cd/㎡ Response Time : 1ms (with MPRT) Input: 1x HDMI,1x DisplayPort Contrast Ratio : 3,000:1(Typ) Technology: AMD FreeSync Premium, Height Adjustable, Swivel, Pivot, Color Gamut (NTSC72%) 3 Years Samsung Malaysia Warranty","रू. 50,000","| Brand New","10 months ago","Tech Store"
"MSI Optix MAG342CQR 34"" Ultra Wide Gaming Monitor","34"" 3.4K UWQHD (3440 x 1440) Frameless, 1500R Curved, Ultra Wide, 21:9 Aspect Ratio, VA Panel, Anti-Glare, 144Hz Refresh Rate, 1ms Response Time, 300cd/m2 nits Brightness, HDR Ready, TUV Certified Eye. if you need direct call this number 9841510220.","रू. 75,000","| Brand New","19 days ago","Kante Techlonogy"
"NB SINGLE Monitor Desk Mount Stand For Screens","NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30''Computer Monitors(Within 4.4lbs to 19.8lbs) F80","रू. 4,500","| Brand New","3 months ago","Tech Store"
"MSI Optix G244F 24 Inch Gaming Monitor 170Hz","23.8"" Full HD (1920 x 1080) Frameless, Rapid IPS Panel, Anti-Glare, 170Hz Refresh Rate, 1ms Response Time, 250cd/m2 nits Brightness, 8 bits Color, 16.7 M Colors Display, 1000:1 Contrast Ratio, 92.05% . if you need direct call this number 9841510220","रू. 27,900","| Brand New","19 days ago","Kante Techlonogy"
"NB Dual Monitor Desk Mount Stand For Two Screens","NB North Bayou Dual Monitor Desk Mount Stand Full Motion Swivel Computer Monitor Arm for Two Screens 17-27 Inch with 4.4~19.8lbs Load Capacity for Each Display F160","रू. 6,000","| Brand New","3 months ago","Tech Store"
"Original Dell 27"" Inch Monitor S2721HN FHD"," Diagonal Size 27"" ⎚ Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 75 Hz  Adjustability Tilt  Ports 2 x HDMI (HDCP 1.4) Audio line-out  Cables 1 x HDMI cable  Panel Technology IPS","रू. 22,500","| Brand New","4 months ago","Tech Store"
"Zilliontec Monitor|LED 19''|VGA/HDMI|Best Price","Zilliontec Monitor 18.5'' LED VGA/HDMI input best quality picture Direct power cable input brand new 1 year warranty best price contact Laptop Plus Newroad, Kathmandu 9847177032","रू. 4,600","| Brand New","2 months ago","Laptop Plus"
"Original Dell 27""Inch Monitor - S2721HN"," Diagonal Size 27"" (68.58 cm) ⎚ Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 75 Hz  Adjustability Tilt  Ports 2 x HDMI Audio line-out  Cables 1 x HDMI cable  Panel Technology IPS","रू. 21,200","| Brand New","3 months ago","Tech Store"
"Dell Original 27 Inch Monitor Ips FHD S2721HN","Dell 27 Monitor - S2721HN","रू. 22,999","| Brand New","4 months ago","Tech Store"
"Dell 27'' Inch Monitor FHD Original - S2721HN","Dell 27 Monitor - S2721HN ⎚ Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 75 Hz  Adjustability Tilt  Ports 2 x HDMI (HDCP 1.4) Audio line-out  Cables 1 x HDMI cable  Panel Technology IPS","रू. 22,650","| Brand New","5 months ago","Tech Store"
"Samsung S3 24"" Monitor","Samsung S3 24"" Monitor Brand new 1 year warranty contact laptop plus new road kathmandu 9847177032","रू. 25,500","| Brand New","5 months ago","Laptop Plus"
"LG 24 Inch IPS Monitor","Key Features 23.8"" In-Plane Switching (IPS) Panel HDMI | VGA 1920 x 1080 Resolution @ 75 Hz 1000:1 Static Contrast Ratio Price - 21,500 Thank you 99 Nepal","रू. 22,500","| Brand New","1 years ago","99Nepal"
"Original Dell 27""Inch Monitor - S2721HN"," Diagonal Size 27"" (68.58 cm) ⎚ Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 75 Hz  Adjustability Tilt  Ports 2 x HDMI Audio line-out  Cables 1 x HDMI cable  Panel Technology IPS","रू. 21,999","| Brand New","3 months ago","Tech Store"
"MSI G27C3F Curved Gaming Monitor 27 "", 180hz, FHD","PANEL SIZE :27"" (69cm) ADOBE RGB / DCI-P3 / SRGB: 90% / 92% / 117% CURVATURE: 1500R PANEL TYPE: Rapid VA PANEL RESOLUTION: 1920 x 1080 (FHD) ASPECT RATIO: 16:09 BRIGHTNESS (NITS): 300 CONTRAST RATIO: 3000:01 DCR: 100000000:1 REFRESH RATE: 180Hz RESPONSE TIME: 1ms (GtG) DYNAMIC REFRESH RATE TECHNOLOGY: AMD FreeSync™ VIDEO PORTS: 1x Display Port (1.2a) 2x HDMI™ (2.0b)"" AUDIO PORTS 1x Earphone out VIEWING ANGLE: 178° (H) / 178° (V)","रू. 28,999","| Brand New","2 months ago","USoft Store"
"MSI PRO MP242C Curved Monitor","TUV Certified Eye Care Monitor, Borderless 23.8"" VA Curved Panel, 1500R Curvature, Full HD (1920*1080), Anti Glare, 75Hz, 1ms Response Time, 250cd/m2 , 1x HDMI(1.4); 1x VGA, 1x Line in, 1 x Head Contr.if you need direct call this number 9841510220","रू. 23,800","| Brand New","19 days ago","Kante Techlonogy"
"MSI Optix G274QPF-E2 IPS Gaming Monitor 180Hz","27"" 2K QHD (2560 x 1440) Frameless, Rapid IPS Panel, Anti-Glare, 180Hz Refresh Rate, 1ms Response Time, 400cd/m2 nits Brightness, VESA DisplayHDR400, 8 bits + FRC Color, 1.07 Billion Colors Display, 1. if you need direct call this number 9841510220","रू. 51,600","| Brand New","19 days ago","Kante Techlonogy"
"MSI Optix G273 27 Inch Gaming Monitor","27"", 300 nits, DCI P3 / SRGB: 94% / 131%, 2 X HDMI, 1X DP, 1 x ear phone out. IPS Panel – Optimize screen colors and brightness to enhance your viewing experience.165Hz Refresh Rate – R . We deal all kind of laptop parts & accessories. We have all brand MSI Optix G273 27 Inch Gaming monitor. We are genuine importer. If needed direct call us 9841510220.","रू. 46,500","| Brand New","19 days ago","Kante Techlonogy"
"Dell Highcopy 22'' Monitor FHD VGA/HDMI","Dell Highcopy Monitor 22'' Full HD Display 1920x1080 VGA/HDMI input Direct powe cable plug in best quality, 1 year warranty Contact: Laptop Plus, Newroad 9847177032 Delivery all over Nepal","रू. 7,000","| Brand New","2 months ago","Laptop Plus"
"Dell 27 Inch Monitor - S2721HN"," Diagonal Size 27"" (68.58 cm) ⎚ Resolution / Refresh Rate Full HD (1080p) 1920 x 1080 at 75 Hz  Adjustability Tilt  Ports 2 x HDMI Audio line-out  Cables 1 x HDMI cable  Panel Technology IPS","रू. 21,200","| Brand New","2 months ago","Tech Store"
"BenQ 22inch LED Monitor - Full HD","BenQ 22-inch Eye-care Stylish Monitor GW2280 DESIGNED FOR HOME, OFFICE & LEISURE: 22"" Full HD Slim-Bezel VA Display with 1920 x 1080 resolution, 16.7 Million Colors and 72% NTSC Color Gamut WIDE VIEWING ANGLE: 178°/178° Viewing Angles for clarity from any viewpoint. ULTRA-SLIM BEZEL: Minimum distractions with virtually seamless panel for maximum visibility EYE CARE: Adaptive Eye Care with Proprietary Brightness Intelligence , Low Blue Light, and Flicker-free technology prevent eye strain","रू. 23,600","| Brand New","2 years ago","MP Accessories"
"AOC 19INCH VGA MONITOR TY","Viber us 9803744123","रू. 12,000","| Brand New","8 months ago","Apple IPhone Repair"
"MSI Modern MD2412P 90° Rotation Monitor 100Hz","23.8"" Full HD (1920 x 1080) Frameless, IPS Panel, Anti-Glare, 100Hz Refresh Rate, 1ms Response Time, 300cd/m2 nits Brightness, HDR Ready, 8 bits Color, 16.7 million Colors Display, 1000:1 Contrast Rat. if you need direct call this number 9841510220","रू. 28,800","| Brand New","19 days ago","Kante Techlonogy"
"Viewsonic 27"" Monitor 144Hz XG2705 Model","Brand new monitor , box pack , seal pack","रू. 55,500","| Brand New","2 years ago","Grand Infosys"
"BenQ PD2705U Professional Designer Monitor","27"" 4k UHD IPS Panel, Anti Glare,60hz REfresh Rate, 5ms Respone TIme, HDR 10, 163ppl, Animation Mode, 1 HDMI, 1 display port, 1 USB Type C, 2USB Type B upstream, USB 3.2 Type A(downstream),1 Headphone. if you need direct call us 9841510220","रू. 99,000","| Brand New","17 days ago","Kante Techlonogy"
"BenQ GW2283 | 21.5"" 1080p Eye-Care IPS Monitor","21.5"" IPS Panel, Full HD (1920*1080), 60Hz, with VGA, HDMI X 2, Head phone Jack, Speaker 1W X 2, Contrast Ratio 1k:1, 12M:1. if you need direct call us9841510220","रू. 17,950","| Brand New","17 days ago","Kante Techlonogy"
"Dell 22inch LED Monitor - E2216HV","Product : Dell 22inch LED Monitor - E2216HV Full HD 1920x1080 @60Hz Resolution | WLED Backlighting | 16:9 widescreen format Anti-glare Screen Coating | VESA compatible for various mounting options VGA connection| Handy preset auto modes with Dell Display Manager Adjustable to your preferred angle with smooth tilt functionality (up to 6° forward or 22°backward) | Easy-to-reach front panel controls Screen size 55.9 cm (22 inch) Full HD, 1920 x 1080 p;Response time: 5 msEnergy efficiency rating","रू. 24,500","| Brand New","2 years ago","MP Accessories"
"Gaming Monitor G24f2 Gigabyte Brand New","GAMINING MONITRO BRAND NEW ON SALE GIGABYTE G24F 24"" (23.8"" Viewable) 165Hz/170Hz(OC) 1920 x 1080 SS IPS, 1ms (MPRT), 90% DCI-P3, FreeSync Premium, 1x DisplayPort 1.2 (HDR Ready), 2x HDMI 2.0, 2x USB 3.0 Height Adjust Gaming Monitor ONE YEAR WARRENTY !!! CALL US FOR BEST PRICE Digital One Pvt ltd at Newroad Sankatamandir PHONE NO - 01-5331676, 01-5330587 MOB/ VIBER- 9841422141 Mobile - 9851137605 Ncell - 9803293527 Mail id - birendrashre@gmail.com","रू. 35,000","| Brand New","1 years ago","Digital One Pvt Ltd"
"BenQ PD2705U Professional Designer Monitor","27"" 4k UHD IPS Panel, Anti Glare,60hz REfresh Rate, 5ms Respone TIme, HDR 10, 163ppl, Animation Mode, 1 HDMI, 1 display port, 1 USB Type C, 2USB Type B upstream, USB 3.2 Type A(downstream),1 Headphone. if you need direct call us 01-5908450","रू. 98,500","| Brand New","15 days ago","Acharya Technology Pvt.Ltd"
"Dell LED Monitor 23 Inche FHD Boarderless IPS Disp","Dell Highcopy LED Monitor 23'' FHD IPS Display Boarderless Resolution: 1920*1080 Aspect Ration: 16:10 Max Brightness: 250 cd/m2 Dynamic Contrast Ration: 1000:1(Typ.) Viewing angle: H:170, V:160 Color: 16.7M(8-bit) Response time: 3.6/1.4(Typ.)(Tr/Td)(ms) Input: VGA/HDMI Power Consumption: 22W(Max) Refresh Rate: 75Hertz","रू. 12,500","| Brand New","4 months ago","Laptop Plus"
"Dell Copy 19'' Monitor","Dell copy Monitor 19'' HD Display best quality VGA/HDMI input direct power cable in contact Laptop Plus, Newroad, Kathmandu delivery all over Nepal","रू. 5,200","| Brand New","2 months ago","Laptop Plus"
"Dell Monitor E2221HN 22"" FHD,60Hz, D-SUB HDMI","- Brand new monitor with a 1-year warranty - Contact no: 9801182449 (Viber/whatsapp) - Price is fixed SPECS: https://www.dell.com/ae/p/dell-e2221hn-monitor/pdref=PD_OC","रू. 18,000","| Brand New","2 years ago","Newroad Computer Store"
"KOORUI 27-Inch Computer 4K Monitor UHD 3840 X 2160","IPS Panel Display HDR 10 Ultra HD 60Hz Refresh Rate 90% DCI-P3 Gamut sRGB 100% Color Gamut 20000000:1 Contrast Ratio 16.7M Display Color 250cd/m2 Brightness Adaptive Sync Technology FPS/RTS Preset Game Modes 178° Wide Viewing Angle Eye Care Technology (Flicker-free & Low Blue light) VESA compatible","रू. 52,000","| Brand New","6 months ago","Digital One Pvt Ltd"
